Reservoir,Site,DateTime,Secchi_m,Flag_Secchi
BVR,50,8/30/2013,2.3,1
BVR,50,8/30/2013,2.3,1
BVR,50,10/16/2013,4.4,0
BVR,50,4/30/2014,3,0
BVR,50,4/30/2014,2.75,0
BVR,50,4/30/2014,3,0
BVR,50,5/14/2014,3.5,0
BVR,50,5/14/2014,3.5,0
BVR,50,5/29/2014,3.5,0
BVR,50,6/4/2014,4.4,0
BVR,50,6/4/2014,4.4,0
BVR,50,6/18/2014,4.2,0
BVR,50,6/18/2014,4.2,0
BVR,50,6/25/2014,4.7,0
BVR,50,6/25/2014,4.7,0
BVR,50,7/2/2014,3,0
BVR,50,7/2/2014,3,0
BVR,50,7/9/2014,2.5,0
BVR,50,7/9/2014,2.5,0
BVR,50,7/23/2014,2.2,0
BVR,50,7/23/2014,2.5,0
BVR,50,7/30/2014,2.5,0
BVR,50,7/30/2014,2.5,0
BVR,50,8/13/2014,2.6,0
BVR,50,8/13/2014,2.6,0
BVR,50,9/4/2014,3.8,0
BVR,50,9/4/2014,3.8,0
BVR,50,9/25/2014,3.3,0
BVR,50,9/25/2014,3.3,0
BVR,50,5/28/2015,3.9,0
BVR,50,6/4/2015,3.4,0
BVR,50,6/11/2015,3.3,0
BVR,50,6/18/2015,3.2,0
BVR,50,6/25/2015,2.5,0
BVR,50,7/2/2015,2.6,0
BVR,50,7/2/2015,2.6,0
BVR,50,7/9/2015,2.9,0
BVR,50,7/16/2015,2.8,0
BVR,50,7/23/2015,2.7,0
BVR,50,7/30/2015,2.6,0
BVR,50,8/13/2015,2.5,0
BVR,50,8/20/2015,2.5,0
BVR,50,10/23/2015,3,0
BVR,50,10/23/2015,3,0
BVR,50,3/23/2016,1.74,0
BVR,50,4/5/2016,2.21,1
BVR,50,4/6/2016,2.21,0
BVR,50,4/20/2016,2.49,1
BVR,50,4/23/2016,1.74,1
BVR,50,5/4/2016,3.08,1
BVR,50,5/12/2016,4.04,1
BVR,50,5/19/2016,3.25,1
BVR,50,5/26/2016,3.45,1
BVR,50,5/29/2016,2.76,1
BVR,50,5/31/2016,3.02,1
BVR,50,6/2/2016,4.2,1
BVR,50,6/8/2016,3.9,1
BVR,50,6/16/2016,3.3,1
BVR,50,6/23/2016,3.9,1
BVR,50,6/26/2016,2.79,1
