DateTime,Depth,temp,OXY_oxy
5/14/2014,0.1,21.5335,295.0096875
5/14/2014,1,20.7267,302.7671875
5/14/2014,2,19.9773,303.839375
5/14/2014,3,17.7273,304.814375
5/14/2014,4,14.2853,287.63625
5/14/2014,5,11.7211,257.7609375
5/14/2014,6,9.6967,237.3590625
5/14/2014,7,8.5209,225.173125
5/14/2014,8,7.8544,200.198125
5/14/2014,9,7.3332,157.239375
5/14/2014,10,6.9084,91.004375
5/14/2014,11,6.8539,80.806875
5/29/2014,0.1,22.8648,278.7971875
5/29/2014,1,22.5354,285.4271875
5/29/2014,2,21.903,283.7784375
5/29/2014,3,20.561,280.0353125
5/29/2014,4,17.0268,283.264375
5/29/2014,5,11.1783,230.24875
5/29/2014,6,8.9796,204.6125
5/29/2014,7,7.922,146.8553125
5/29/2014,8,7.4196,102.9746875
5/29/2014,9,7.1392,9.0140625
5/29/2014,10,6.9399,7.0025
5/29/2014,11,6.8624,5.1184375
6/4/2014,0.1,23.5578,240.78625
6/4/2014,1,23.5571,241.5115625
6/4/2014,2,23.468,240.08
6/4/2014,3,21.5993,251.159375
6/4/2014,4,14.7595,246.2415625
6/4/2014,5,11.5501,218.21375
6/4/2014,6,9.8365,205.7309375
6/4/2014,7,8.4134,160.218125
6/4/2014,8,7.7758,99.50875
6/4/2014,9,7.2414,9.4846875
6/4/2014,10,6.9411,7.5525
6/4/2014,11,6.8007,5.7490625
6/18/2014,0.1,26.5018,231.0784375
6/18/2014,1,26.4896,231.063125
6/18/2014,2,26.4456,230.7625
6/18/2014,3,24.515,205.59375
6/18/2014,4,18.4536,203.45875
6/18/2014,5,13.0697,197.07375
6/18/2014,6,10.2099,178.4534375
6/18/2014,7,8.8451,105.7215625
6/18/2014,8,8.17,61.4146875
6/18/2014,9,7.6458,8.63
6/18/2014,10,7.2657,6.226875
6/18/2014,11,7.006,4.890625
6/25/2014,0.1,26.6621,237.3009375
6/25/2014,1,26.3005,236.144375
6/25/2014,2,26.1697,231.8975
6/25/2014,3,24.1546,193.4903125
6/25/2014,4,17.7377,190.79
6/25/2014,5,11.8613,166.5609375
6/25/2014,6,10.0187,150.86375
6/25/2014,7,8.7844,64.939375
6/25/2014,8,7.9784,9.435
6/25/2014,9,7.3861,6.206875
6/25/2014,10,7.0672,4.9046875
6/25/2014,11,6.9333,4.2125
7/2/2014,0.1,27.5475,242.6928125
7/2/2014,1,27.3661,241.8271875
7/2/2014,2,25.9502,237.8571875
7/2/2014,3,24.1301,199.2321875
7/2/2014,4,16.468,180.25375
7/2/2014,5,12.6727,167.083125
7/2/2014,6,9.7969,83.3746875
7/2/2014,7,8.6865,18.435
7/2/2014,8,7.9882,7.1715625
7/2/2014,9,7.4064,5.28375
7/2/2014,10,7.1015,4.4046875
7/2/2014,11,6.9079,4.1446875
7/9/2014,0.1,26.6066,238.2203125
7/9/2014,1,26.134,238.155
7/9/2014,2,25.848,229.18875
7/9/2014,3,23.3371,152.9334375
7/9/2014,4,17.7333,137.4659375
7/9/2014,5,12.3931,118.0284375
7/9/2014,6,9.8701,43.795
7/9/2014,7,8.6468,10.9778125
7/9/2014,8,7.874,6.515625
7/9/2014,9,7.4109,5.4353125
7/9/2014,10,7.1667,4.4975
7/9/2014,11,6.9663,4.109375
7/16/2014,0.1,25.7582,225.66625
7/16/2014,1,25.7695,226.140625
7/16/2014,2,25.7709,227.1671875
7/16/2014,3,25.5845,185.701875
7/16/2014,4,17.7392,89.086875
7/16/2014,5,11.9687,62.66625
7/16/2014,6,9.9571,28.6446875
7/16/2014,7,8.7778,8.3371875
7/16/2014,8,7.8179,6.3621875
7/16/2014,9,7.3856,5.393125
7/16/2014,10,7.1795,4.670625
7/16/2014,11,7.0282,4.4734375
7/23/2014,0.1,25.9965,245.305625
7/23/2014,1,25.7009,244.623125
7/23/2014,2,25.1677,241.161875
7/23/2014,3,21.6272,76.1365625
7/23/2014,4,16.3045,52.368125
7/23/2014,5,11.8443,39.4609375
7/23/2014,6,10.1908,21.4084375
7/23/2014,7,8.9308,5.9925
7/23/2014,8,7.9364,5.0165625
7/23/2014,9,7.4126,4.5865625
7/23/2014,10,7.1883,3.5196875
7/23/2014,11,6.9635,3.369375
7/30/2014,0.1,24.2081,224.0775
7/30/2014,1,23.9812,225.171875
7/30/2014,2,23.7127,213.513125
7/30/2014,3,22.5422,54.0465625
7/30/2014,4,16.6367,25.7015625
7/30/2014,5,12.3808,16.5671875
7/30/2014,6,9.6359,6.5878125
7/30/2014,7,8.3882,4.7934375
7/30/2014,8,7.6486,4.58625
7/30/2014,9,7.3734,4.049375
7/30/2014,10,7.2097,3.9559375
7/30/2014,11,7.0273,3.3959375
8/13/2014,0.1,21.6129,223.4315625
8/13/2014,1,21.6082,223.6509375
8/13/2014,2,21.6027,223.6653125
8/13/2014,3,21.599,223.2284375
8/13/2014,4,19.2448,35.175
8/13/2014,5,13.6034,11.798125
8/13/2014,6,10.5498,7.435625
8/13/2014,7,8.7916,5.99875
8/13/2014,8,8.058,5.401875
8/13/2014,9,7.4351,4.2409375
8/13/2014,10,7.2445,3.7909375
8/13/2014,11,7.1247,3.7596875
9/4/2014,0.1,25.8837,233.8775
9/4/2014,1,25.8815,233.380625
9/4/2014,2,24.8129,230.423125
9/4/2014,3,21.7209,74.8175
9/4/2014,4,17.647,20.7896875
9/4/2014,5,13.4034,32.3859375
9/4/2014,6,9.9134,5.9921875
9/4/2014,7,8.5393,4.6709375
9/4/2014,8,7.9216,4.343125
9/4/2014,9,7.5829,3.79875
9/4/2014,10,7.4015,3.550625
9/4/2014,11,7.2605,4.2434375
9/25/2014,0.1,19.3937,233.3725
9/25/2014,1,19.3886,233.5940625
9/25/2014,2,19.3687,233.351875
9/25/2014,3,19.3584,233.5140625
9/25/2014,4,19.3344,233.468125
9/25/2014,5,14.0564,12.8115625
9/25/2014,6,10.6705,7.6525
9/25/2014,7,8.8658,5.63625
9/25/2014,8,7.9429,4.799375
9/25/2014,9,7.6134,4.4003125
9/25/2014,10,7.4735,4.2034375
9/25/2014,11,7.3041,3.68375
10/23/2014,0.1,13.4511,259.86625
10/23/2014,1,13.4848,259.3971875
10/23/2014,2,13.4944,259.118125
10/23/2014,3,13.4956,258.9725
10/23/2014,4,13.4638,260.3096875
10/23/2014,5,13.4372,259.4428125
10/23/2014,6,13.4154,259.033125
10/23/2014,7,13.408,257.3903125
10/23/2014,8,11.8946,102.66625
10/23/2014,9,7.9047,13.6703125
10/23/2014,10,7.6451,9.3928125
10/23/2014,11,7.5454,7.9625
5/14/2015,0.1,21.05103,265.7834063
5/14/2015,1,20.8417,263.26
5/14/2015,2,18.5255,322.2103125
5/14/2015,3,15.1426,324.61875
5/14/2015,4,13.338,268.9903125
5/14/2015,5,11.408,165.226875
5/14/2015,6,9.8812,111.2534375
5/14/2015,7,8.7448,82.8840625
5/14/2015,8,7.9426,5.131875
5/14/2015,9,7.6994,3.009375
5/14/2015,10,7.5786,2.518125
5/14/2015,11,7.4605,2.635625
5/21/2015,0.1,20.1053,199.1875
5/21/2015,1,21.2811,255.6178125
5/21/2015,2,21.213,274.6953125
5/21/2015,3,17.2174,305.115625
5/21/2015,4,14.0815,251.288125
5/21/2015,5,11.8238,161.2296875
5/21/2015,6,10.053,101.243125
5/21/2015,7,8.4809,24.4196875
5/21/2015,8,7.8659,6.05
5/21/2015,9,7.6769,4.380625
5/21/2015,10,7.5897,3.51625
5/21/2015,11,7.5364,3.1078125
5/28/2015,0.1,23.869,264.8365625
5/28/2015,1,23.6969,265.745
