Rch4ox,Kch4ox,vTch4ox,Fsed_ch4,Fsed_ch4,Ksed_ch4,theta_sed_ch4
-631278.209230586,507397.07422589,-331862.690094178,4328085.38188931,48575.0075910162,-1310756.46026774,-357042.922026848
29843.9326049752,485360.775645831,95486.4266290599,-3512116.94131631,-212177.480072659,-2767869.76556767,348786.391709231
141391.982103065,-381171.942264244,-726619.669703235,4107156.65145934,654873.322511833,-5664934.40059018,-87797.1884842324
