wind_factor,sw_factor,lw_factor,coef_mix_conv,coef_wind_stir,coef_mix_shear,coef_mix_turb,coef_mix_KH,coef_mix_hyp,ce,ch,cd,sed_temp_mean,sed_temp_mean,sed_temp_amplitude,sed_temp_amplitude,sed_temp_peak_doy,sed_temp_peak_doy
1111.11121989355,4308.72221791054,-1456.8552754396,1108.10177506955,-866.784548625716,0,-405.502731462168,-944.166997382102,-386.513817327949,-845.108868683213,-1570.54366427933,2993.55480969586,12763.1678159095,-15868.7206892415,1287.56747590119,-4430.62496951831,-1635.07556718786,2105.65229794764
1312.35270275517,-4448.3936657238,4450.18528623067,-2027.83243549532,-712.051237869156,0,-1091.12506721388,1348.89315989783,-845.636950881825,-933.378711733846,1106.2866803822,853.667664476315,-12139.2588434049,14962.4813091298,-1749.70215658265,-482.60990356807,264.240889717532,-94.3991526830723
3472.43253412174,5711.17742244719,4001.9479119291,-1576.85469043,989.376137814971,0,2332.48529387851,1111.2770808263,-4548.78362221053,-2330.20801478354,-452.665361265216,-924.28617625317,-11772.9660698469,-16610.1174475063,-1351.46427563851,6885.96096587971,-822.319299320847,2344.81336591397
