Fsed_oxy,Fsed_oxy,Ksed_oxy,theta_sed_oxy,Rdom_minerl,Rpom_hydrol,Rdomr_minerl,Rcpom_bdown
-10368399.8470288,1244145.75090527,878468.220196743,-568908.886548509,21697.0274431544,0,-731046.060992475,0
-16199743.2829552,-732339.369845542,180155.176577212,-512586.522152221,2376514.91794978,0,-4664566.96421541,234010.352732365
-20136202.1507555,270753.714428125,903018.239846723,-134264.870199244,749742.503606016,0,-4124284.82328773,0
