DateTime,Rch4ox,Kch4ox,vTch4ox,Fsed_ch4,Ksed_ch4,theta_sed_ch4,RMSE
2021-03-16 18:23:05,1e-04,1e-04,1.2,300,0.001,1.15,120.614894530776
2021-03-16 18:22:50,5,5,0.9,300,100,1,6674.39648102313
2021-03-16 18:22:34,5,5,0.9,300,100,1.15,1450.41096875923
2021-03-16 18:22:20,5,5,1.2,0.001,0.001,1.15,120.937190601952
2021-03-16 18:22:04,5,5,0.9,0.001,100,1.15,207.164262912901
2021-03-16 18:21:50,5,5,0.9,300,0.001,1,334.706996174533
2021-03-16 18:21:35,1e-04,1e-04,1.2,300,0.001,1,117.59528689605
2021-03-16 18:21:19,5,5,1.2,300,100,1.15,1443.00228131705
2021-03-16 18:21:04,1e-04,1e-04,0.9,300,100,1.15,1086.2214494003
2021-03-16 18:20:49,1e-04,1e-04,1.2,0.001,100,1,123.905209396973
2021-03-16 18:20:34,1e-04,1e-04,1.2,0.001,100,1.15,131.543338141233
2021-03-16 18:20:19,5,5,0.9,300,100,1.15,1450.41096875923
2021-03-16 18:20:04,5,1e-04,1.2,300,0.001,1,118.375970544237
2021-03-16 18:19:49,5,5,1.2,300,0.001,1.15,120.78127589452
2021-03-16 18:19:34,5,5,1.2,0.001,100,1,159.034201874274
2021-03-16 18:19:19,5,5,0.9,0.001,0.001,1.15,120.747053187481
2021-03-16 18:19:04,1e-04,1e-04,1.2,0.001,0.001,1.15,120.928392230247
2021-03-16 18:18:50,5,5,1.2,300,100,1.15,1444.34311247224
2021-03-16 18:18:35,5,5,0.9,300,100,1.15,1450.41096875923
2021-03-16 18:18:20,5,5,1.2,0.001,0.001,1.15,120.937189945573
2021-03-16 18:18:05,1e-04,1e-04,0.9,0.001,100,1.15,132.047803083299
2021-03-16 18:17:51,1e-04,1e-04,1.2,300,100,1.15,1136.7640069594
2021-03-16 18:17:36,1e-04,5,0.9,300,0.001,1.15,120.641704670231
2021-03-16 18:17:20,1e-04,1e-04,0.9,0.001,0.001,1,120.931487695986
2021-03-16 18:17:05,1e-04,1e-04,1.2,300,0.001,1,117.780509133608
2021-03-16 18:16:50,1e-04,1e-04,1.2,0.001,0.001,1.15,120.928392230247
2021-03-16 18:16:36,5,5,1.2,300,0.001,1,876.588850741177
2021-03-16 18:16:21,1e-04,1e-04,0.9,0.001,0.001,1,120.931487695986
2021-03-16 18:16:06,1e-04,1e-04,1.2,0.001,100,1.15,130.057661827943
2021-03-16 18:15:51,1e-04,1e-04,0.9,0.001,100,1.15,132.047803083299
2021-03-16 18:15:36,5,5,0.9,0.001,100,1,161.199924893787
2021-03-16 18:15:21,1e-04,1e-04,0.9,0.001,0.001,1,120.931487695986
2021-03-16 18:15:06,5,5,0.9,300,0.001,1,334.706996174533
2021-03-16 18:14:51,1e-04,1e-04,1.2,0.001,100,1.15,130.841644145163
2021-03-16 18:14:36,5,5,1.2,300,100,1,6952.5936928167
2021-03-16 18:14:21,1e-04,1e-04,1.2,300,0.001,1,117.780509133608
2021-03-16 18:14:06,5,5,0.9,300,100,1,6674.39648102313
2021-03-16 18:13:51,5,5,0.9,300,100,1,6674.39648102313
2021-03-16 18:13:36,5,5,0.9,300,100,1,6674.39648102313
2021-03-16 18:13:21,1e-04,5,1.2,0.001,100,1.15,130.895092063816
2021-03-16 18:13:06,5,1e-04,1.2,0.001,100,1.15,195.669941638447
2021-03-16 18:12:51,5,5,0.9,300,100,1,6674.39648102313
2021-03-16 18:12:36,1e-04,1e-04,0.9,300,0.001,1,117.652783880114
2021-03-16 18:12:22,5,5,0.9,0.001,100,1.15,207.164262912901
2021-03-16 18:12:07,5,5,0.9,0.001,0.001,1.15,120.747053187481
2021-03-16 18:11:52,5,5,1.2,0.001,100,1.15,212.895524481872
2021-03-16 18:11:51,5,5,1.2,0.001,100,1.15,212.895524481872
2021-03-16 18:11:36,5,5,0.9,300,100,1.15,1450.41096875923
2021-03-16 18:11:21,5,5,0.9,0.001,0.001,1,120.9371928755
2021-03-16 18:11:06,1e-04,1e-04,1.2,0.001,0.001,1,120.927401520149
2021-03-16 18:10:51,5,5,0.9,0.001,0.001,1.15,120.747053187481
2021-03-16 18:10:36,5,5,0.9,0.001,0.001,1.15,120.747053187481
2021-03-16 18:10:21,5,5,0.9,0.001,100,1.15,207.164262912901
2021-03-16 18:10:06,1e-04,1e-04,1.2,0.001,100,1,123.905209396973
2021-03-16 18:09:51,5,5,0.9,300,100,1,6642.00958337688
2021-03-16 18:09:36,5,5,1.2,300,100,1,6952.5936928167
2021-03-16 18:09:21,1e-04,1e-04,1.2,300,0.001,1.15,120.614894530776
2021-03-16 18:09:06,1e-04,1e-04,0.9,0.001,100,1.15,132.047803083299
2021-03-16 18:08:51,5,5,1.2,300,100,1.15,1443.00228131705
2021-03-16 18:08:36,1e-04,1e-04,1.2,0.001,0.001,1.15,120.928392230247
2021-03-16 18:08:21,5,5,1.2,300,0.001,1,876.588850741177
2021-03-16 18:08:06,1e-04,1e-04,1.2,0.001,100,1.15,131.543338141233
2021-03-16 18:07:51,1e-04,1e-04,1.2,300,100,1,5178.92695874562
2021-03-16 18:07:35,5,5,1.2,300,0.001,1.15,120.78127589452
2021-03-16 18:07:20,5,5,0.9,300,0.001,1,334.706996174533
2021-03-16 18:07:05,5,5,0.9,0.001,0.001,1.15,120.747053187481
2021-03-16 18:06:49,5,5,1.2,0.001,100,1.15,218.482445889451
2021-03-16 18:06:35,1e-04,1e-04,1.2,300,0.001,1,117.780509133608
2021-03-16 18:06:20,1e-04,1e-04,1.2,300,0.001,1,117.780509133608
2021-03-16 18:06:05,5,5,1.2,0.001,100,1.15,218.482445889451
2021-03-16 18:05:50,5,5,1.2,0.001,100,1.15,218.482445889451
2021-03-16 18:05:34,1e-04,1e-04,1.2,300,100,1.15,1136.7640069594
2021-03-16 18:05:19,5,5,0.9,0.001,0.001,1.15,120.747053187481
2021-03-16 18:05:05,1e-04,1e-04,0.9,0.001,0.001,1,120.931487695986
2021-03-16 18:04:50,1e-04,1e-04,0.9,300,0.001,1.15,120.612880871087
2021-03-16 18:04:35,1e-04,1e-04,1.2,300,0.001,1.15,120.614894530776
2021-03-16 18:04:20,1e-04,1e-04,1.2,300,0.001,1.15,120.614894530776
2021-03-16 18:04:06,5,1e-04,1.2,300,100,1,1096.72095031066
2021-03-16 18:03:51,1e-04,1e-04,0.9,300,100,1,5245.66462496234
2021-03-16 18:03:36,1e-04,5,1.2,0.001,0.001,1.15,120.932539501336
2021-03-16 18:03:21,1e-04,1e-04,1.2,0.001,0.001,1,120.927401520149
2021-03-16 18:03:06,1e-04,1e-04,0.9,300,100,1.15,1086.2214494003
2021-03-16 18:02:52,5,5,1.2,0.001,100,1,159.034201874274
2021-03-16 18:02:38,1e-04,1e-04,0.9,300,0.001,1,117.655509726511
2021-03-16 18:02:23,1e-04,5,1.2,300,100,1,5598.02962956263
2021-03-16 18:02:08,1e-04,1e-04,0.9,0.001,100,1,122.747303958942
2021-03-16 18:01:53,1e-04,1e-04,0.9,0.001,0.001,1,120.931487695986
2021-03-16 18:01:38,5,5,0.9,300,0.001,1,334.706996174533
2021-03-16 18:01:24,1e-04,1e-04,1.2,0.001,0.001,1,120.927401520149
2021-03-16 18:01:09,1e-04,1e-04,1.2,300,100,1,5178.92695874562
2021-03-16 18:00:55,1e-04,1e-04,1.2,300,100,1,5178.92695874562
2021-03-16 18:00:40,5,5,1.2,0.001,0.001,1.15,120.937189945573
2021-03-16 18:00:25,1e-04,1e-04,1.2,0.001,0.001,1,120.927401520149
2021-03-16 18:00:11,5,5,0.9,300,100,1,6674.39648102313
2021-03-16 17:59:57,1e-04,1e-04,0.9,0.001,100,1.15,132.047803083299
2021-03-16 17:59:41,1e-04,1e-04,0.9,0.001,100,1.15,120.927401520149
2021-03-16 17:59:41,1e-04,1e-04,1.2,0.001,0.001,1,120.927401520149
2021-03-16 17:59:26,5,5,0.9,300,0.001,1,334.706996174533
2021-03-16 17:59:12,1e-04,1e-04,1.2,0.001,100,1.15,131.543338141233
2021-03-16 17:58:57,5,5,0.9,300,0.001,1.15,120.797622731372
2021-03-16 17:58:43,5,5,1.2,0.001,0.001,1.15,120.937190601952
