DateTime,Rch4ox,Kch4ox,vTch4ox,Fsed_ch4,Ksed_ch4,theta_sed_ch4,RMSE
2021-04-19 17:06:26,5,5,0.9,0.001,0.001,0.85,120.937184067144
2021-04-19 17:06:01,5,5,1.2,300,100,0.85,43126.1606728429
2021-04-19 17:05:36,5,1e-04,1.2,0.001,100,0.85,189.685259336415
2021-04-19 17:05:10,5,5,0.9,0.001,100,1.15,207.497932464138
2021-04-19 17:04:45,5,5,0.9,0.001,100,0.85,319.709144628823
2021-04-19 17:04:20,5,5,0.9,300,0.001,0.85,34282.7689712358
2021-04-19 17:03:53,1e-04,1e-04,0.9,0.001,100,1.15,132.103343578622
2021-04-19 17:03:27,1e-04,1e-04,1.2,300,0.001,1.15,120.624205482866
2021-04-19 17:03:02,1e-04,1e-04,0.9,300,100,1.15,1129.70940475181
2021-04-19 17:02:35,1e-04,1e-04,1.2,0.001,0.001,1.15,120.932840023781
2021-04-19 17:02:09,5,5,1.2,300,100,0.85,42708.7422810166
2021-04-19 17:01:43,5,5,1.2,0.001,0.001,1.15,120.937188554051
2021-04-19 17:01:17,1e-04,1e-04,0.9,300,0.001,0.85,223.99303304237
2021-04-19 17:00:51,1e-04,1e-04,1.2,300,100,1.15,1097.81116527995
2021-04-19 17:00:25,1e-04,1e-04,0.9,0.001,100,1.15,132.103343578622
2021-04-19 16:59:59,1e-04,1e-04,1.2,0.001,0.001,1.15,120.932840023781
2021-04-19 16:59:33,5,5,0.9,300,100,1.15,1470.49622633829
2021-04-19 16:59:08,5,5,0.9,0.001,0.001,0.85,120.937184067144
2021-04-19 16:58:43,5,5,1.2,0.001,0.001,0.85,120.937178161132
2021-04-19 16:58:17,1e-04,1e-04,0.9,300,0.001,0.85,220.25501744186
2021-04-19 16:57:51,1e-04,1e-04,0.9,300,100,0.85,35537.7767048673
2021-04-19 16:57:24,1e-04,1e-04,0.9,300,100,1.15,1129.70940475181
2021-04-19 16:56:58,1e-04,1e-04,1.2,300,0.001,1.15,120.624205482866
2021-04-19 16:56:33,1e-04,1e-04,1.2,0.001,100,1.15,131.815983207489
2021-04-19 16:56:06,1e-04,1e-04,1.2,0.001,100,0.85,125.956499009176
2021-04-19 16:55:41,1e-04,1e-04,0.9,300,0.001,1.15,120.616666658327
2021-04-19 16:55:15,1e-04,1e-04,1.2,300,0.001,0.85,218.33249786956
2021-04-19 16:54:49,5,5,0.9,0.001,0.001,0.85,120.937184067144
2021-04-19 16:54:23,5,5,0.9,300,0.001,0.85,34282.7689712358
2021-04-19 16:53:57,5,5,0.9,300,0.001,0.85,34282.7689712358
2021-04-19 16:53:31,1e-04,1e-04,0.9,300,100,1.15,1129.70940475181
2021-04-19 16:53:05,5,5,1.2,0.001,0.001,0.85,120.937178161132
2021-04-19 16:52:39,5,5,0.9,300,0.001,0.85,34282.7689712358
2021-04-19 16:52:14,1e-04,1e-04,1.2,0.001,100,1.15,130.061899292827
2021-04-19 16:51:48,1e-04,1e-04,0.9,0.001,100,1.15,132.103343578622
2021-04-19 16:51:23,5,5,0.9,0.001,0.001,1.15,120.937194189535
2021-04-19 16:50:57,5,5,0.9,300,0.001,0.85,34282.7689712358
2021-04-19 16:50:31,1e-04,1e-04,1.2,300,0.001,1.15,120.624205482866
2021-04-19 16:50:06,1e-04,1e-04,1.2,300,0.001,0.85,218.33249786956
2021-04-19 16:49:40,5,5,1.2,300,0.001,0.85,40794.9631998495
2021-04-19 16:49:14,1e-04,1e-04,1.2,0.001,0.001,0.85,120.932389259315
2021-04-19 16:48:48,1e-04,1e-04,0.9,300,0.001,0.85,220.25501744186
2021-04-19 16:48:22,1e-04,1e-04,0.9,300,0.001,0.85,220.25501744186
2021-04-19 16:47:56,5,5,1.2,0.001,0.001,1.15,120.937188554051
2021-04-19 16:47:30,5,5,1.2,0.001,100,0.85,198.349904826973
2021-04-19 16:47:04,5,5,1.2,300,100,1.15,1458.85866287099
2021-04-19 16:46:39,1e-04,1e-04,0.9,0.001,0.001,1.15,120.932854821317
2021-04-19 16:46:13,5,5,0.9,0.001,100,1.15,207.497932464138
2021-04-19 16:45:48,5,5,0.9,0.001,0.001,1.15,120.937194189535
2021-04-19 16:45:22,5,5,1.2,300,100,0.85,43126.1606728429
2021-04-19 16:44:57,1e-04,1e-04,0.9,0.001,0.001,1.15,120.932854821317
2021-04-19 16:44:31,1e-04,1e-04,1.2,0.001,100,0.85,125.956499009176
2021-04-19 16:44:05,5,5,0.9,0.001,100,0.85,321.526698522606
2021-04-19 16:43:40,5,5,0.9,0.001,0.001,1.15,120.937194189535
2021-04-19 16:43:14,5,5,0.9,0.001,100,0.85,319.709144628823
2021-04-19 16:42:48,1e-04,1e-04,1.2,0.001,0.001,1.15,120.932840023781
2021-04-19 16:42:22,1e-04,1e-04,1.2,300,0.001,1.15,120.624205482866
2021-04-19 16:41:56,1e-04,1e-04,0.9,0.001,0.001,1.15,120.932854821317
2021-04-19 16:41:30,1e-04,1e-04,1.2,0.001,100,1.15,131.815983207489
2021-04-19 16:41:04,5,5,0.9,0.001,0.001,1.15,120.937194189535
2021-04-19 16:40:32,5,5,0.9,300,0.001,0.85,34282.7689712358
2021-04-19 16:40:07,5,5,0.9,300,0.001,1.15,120.818046760341
2021-04-19 16:39:43,1e-04,1e-04,1.2,0.001,0.001,0.85,120.932389259315
2021-04-19 16:39:18,5,5,1.2,300,0.001,0.85,40794.9631998495
2021-04-19 16:38:53,5,5,1.2,300,0.001,1.15,120.793908302781
2021-04-19 16:38:28,1e-04,1e-04,0.9,0.001,0.001,1.15,120.932854821317
2021-04-19 16:38:04,1e-04,1e-04,0.9,0.001,100,1.15,132.103343578622
2021-04-19 16:37:39,5,5,0.9,300,100,1.15,1470.49622633829
2021-04-19 16:37:15,5,5,0.9,300,100,0.85,40618.5242208092
2021-04-19 16:36:50,5,5,1.2,0.001,100,1.15,218.27588806601
2021-04-19 16:36:25,1e-04,1e-04,0.9,300,0.001,1.15,120.616666658327
2021-04-19 16:36:00,5,5,1.2,300,100,1.15,1458.85866287099
2021-04-19 16:35:36,1e-04,1e-04,0.9,0.001,100,1.15,132.103343578622
2021-04-19 16:35:12,1e-04,1e-04,1.2,0.001,100,1.15,131.815983207489
2021-04-19 16:34:47,5,5,0.9,0.001,0.001,1.15,120.937194189535
2021-04-19 16:34:22,1e-04,1e-04,0.9,300,100,0.85,35537.7767048673
2021-04-19 16:33:57,5,5,0.9,300,100,0.85,40618.5242208092
2021-04-19 16:33:32,1e-04,1e-04,0.9,300,0.001,0.85,220.25501744186
2021-04-19 16:33:07,5,5,0.9,0.001,100,1.15,207.497932464138
2021-04-19 16:32:43,5,5,1.2,0.001,100,1.15,201.572383832682
2021-04-19 16:32:19,1e-04,1e-04,0.9,0.001,0.001,1.15,120.932854821317
2021-04-19 16:31:54,5,5,0.9,0.001,0.001,1.15,120.937194189535
2021-04-19 16:31:29,1e-04,1e-04,1.2,300,100,1.15,1097.81116527995
2021-04-19 16:31:05,1e-04,1e-04,0.9,0.001,0.001,1.15,120.932854821317
2021-04-19 16:30:40,1e-04,1e-04,0.9,300,100,1.15,1129.70940475181
2021-04-19 16:30:15,5,5,0.9,300,100,1.15,1422.75589642558
2021-04-19 16:29:51,1e-04,1e-04,0.9,300,0.001,0.85,220.25501744186
2021-04-19 16:29:26,1e-04,1e-04,1.2,300,100,0.85,32780.7345845961
2021-04-19 16:29:01,5,5,0.9,0.001,0.001,0.85,120.937184067144
2021-04-19 16:28:36,1e-04,1e-04,1.2,300,0.001,0.85,218.33249786956
2021-04-19 16:28:11,5,5,1.2,0.001,100,0.85,198.349904826973
2021-04-19 16:27:46,1e-04,1e-04,1.2,300,100,1.15,1097.81116527995
2021-04-19 16:27:22,5,5,0.9,0.001,100,1.15,207.497932464138
2021-04-19 16:26:57,1e-04,1e-04,0.9,0.001,100,0.85,126.19168742317
2021-04-19 16:26:33,5,5,1.2,300,100,0.85,43126.1606728429
2021-04-19 16:26:08,1e-04,1e-04,0.9,0.001,0.001,1.15,120.932854821317
2021-04-19 16:25:43,1e-04,1e-04,0.9,300,100,0.85,35537.7767048673
2021-04-19 16:25:18,5,5,1.2,0.001,0.001,0.85,120.937178161132
2021-04-19 16:24:53,1e-04,1e-04,0.9,0.001,0.001,0.85,120.929792474276
2021-04-19 16:24:29,1e-04,1e-04,1.2,0.001,0.001,0.85,120.932389259315
2021-04-19 16:24:04,5,5,1.2,300,0.001,1.15,120.793908302781
2021-04-19 16:23:40,5,5,1.2,300,0.001,1.15,120.793908302781
2021-04-19 16:23:15,1e-04,1e-04,0.9,300,0.001,0.85,220.25501744186
2021-04-19 16:22:50,5,5,0.9,300,100,0.85,40618.5242208092
2021-04-19 16:22:25,1e-04,1e-04,0.9,0.001,100,1.15,132.103343578622
2021-04-19 16:22:01,5,5,0.9,0.001,100,0.85,319.709144628823
2021-04-19 16:21:36,1e-04,1e-04,0.9,300,100,1.15,1129.70940475181
2021-04-19 16:21:11,1e-04,1e-04,0.9,0.001,100,1.15,132.103343578622
2021-04-19 16:20:46,1e-04,1e-04,0.9,0.001,0.001,0.85,120.929792474276
2021-04-19 16:20:22,1e-04,1e-04,0.9,300,100,0.85,35537.7767048673
2021-04-19 16:19:56,5,5,1.2,300,0.001,0.85,40794.9631998495
2021-04-19 16:19:31,1e-04,1e-04,1.2,300,100,0.85,32780.7345845961
2021-04-19 16:19:07,5,5,0.9,300,0.001,1.15,120.818046760341
2021-04-19 16:18:43,5,5,0.9,0.001,0.001,0.85,120.937184067144
2021-04-19 16:18:18,5,5,1.2,0.001,100,0.85,198.349904826973
2021-04-19 16:17:53,1e-04,1e-04,1.2,300,100,0.85,32780.7345845961
2021-04-19 16:17:28,1e-04,1e-04,0.9,0.001,100,1.15,132.103343578622
2021-04-19 16:17:04,5,5,0.9,0.001,100,0.85,311.134450402548
2021-04-19 16:16:38,5,5,1.2,300,100,0.85,43126.1606728429
2021-04-19 16:16:14,1e-04,1e-04,0.9,0.001,100,1.15,132.103343578622
2021-04-19 16:15:49,5,5,0.9,300,0.001,1.15,120.834536041591
2021-04-19 16:15:25,5,5,1.2,300,100,1.15,1458.85866287099
2021-04-19 16:15:01,5,5,1.2,0.001,0.001,0.85,120.937178161132
2021-04-19 16:14:36,5,5,0.9,300,100,0.85,40618.5242208092
2021-04-19 16:14:11,5,5,0.9,0.001,0.001,0.85,120.937184067144
2021-04-19 16:13:47,1e-04,1e-04,0.9,300,100,0.85,35537.7767048673
2021-04-19 16:13:22,5,5,0.9,0.001,0.001,0.85,120.937183172723
2021-04-19 16:12:57,5,5,1.2,300,0.001,1.15,120.793908302781
2021-04-19 16:12:32,1e-04,1e-04,1.2,300,0.001,1.15,120.624205482866
2021-04-19 16:12:07,1e-04,1e-04,0.9,300,0.001,0.85,220.25501744186
2021-04-19 16:11:42,5,5,0.9,0.001,0.001,1.15,120.937194189535
2021-04-19 16:11:18,5,5,1.2,0.001,0.001,1.15,120.937188554051
2021-04-19 16:10:53,1e-04,1e-04,0.9,0.001,0.001,1.15,120.932854821317
