DateTime,Fsed_rsi,Ksed_rsi,theta_sed_rsi,RMSE
2021-06-15 13:56:33,0.01,0.01,1.15,37.3820456080936
2021-06-15 13:56:07,0.01,0.01,1.15,37.3820456080936
2021-06-15 13:55:42,100,0.01,1.15,181.07764406174
2021-06-15 13:55:15,0.01,0.01,1.15,37.3820456080936
2021-06-15 13:54:49,0.01,0.01,1,37.3912076895052
2021-06-15 13:54:23,0.01,0.01,1,37.3912076895052
2021-06-15 13:53:57,0.01,0.01,1,37.3912076895052
2021-06-15 13:53:31,0.01,0.01,1,37.3912076895052
2021-06-15 13:53:05,100,0.01,1,881.977333068938
2021-06-15 13:52:39,100,0.01,1,881.977333068938
2021-06-15 13:52:12,100,0.01,1.15,181.07764406174
2021-06-15 13:51:46,100,0.01,1,881.977333068938
2021-06-15 13:51:20,100,0.01,1.15,181.07764406174
2021-06-15 13:50:54,0.01,300,1.15,37.3947957513083
2021-06-15 13:50:28,0.01,300,1,37.4638336324974
2021-06-15 13:50:02,100,300,1,2308.88004447219
2021-06-15 13:49:37,0.01,0.01,1,37.3912076895052
2021-06-15 13:49:11,100,0.01,1.15,181.07764406174
2021-06-15 13:48:46,100,300,1.15,544.648668435376
2021-06-15 13:48:20,100,0.01,1,881.977333068938
2021-06-15 13:47:54,100,0.01,1,881.977333068938
2021-06-15 13:47:28,0.01,300,1.15,37.3947957513083
2021-06-15 13:47:02,0.01,0.01,1.15,37.3820456080936
2021-06-15 13:46:36,0.01,300,1.15,37.3947957513083
2021-06-15 13:46:10,0.01,0.01,1.15,37.3820456080936
2021-06-15 13:45:44,0.01,300,1,37.4638336324974
2021-06-15 13:45:17,100,300,1.15,544.648668435376
2021-06-15 13:44:51,0.01,300,1,37.4638336324974
2021-06-15 13:44:24,100,0.01,1,881.977333068938
2021-06-15 13:43:57,0.01,300,1.15,37.3947957513083
2021-06-15 13:43:32,0.01,300,1.15,37.3947957513083
2021-06-15 13:43:06,100,300,1.15,557.016498620739
2021-06-15 13:42:40,0.01,0.01,1.15,37.3820456080936
2021-06-15 13:42:14,0.01,300,1.15,37.3947957513083
2021-06-15 13:41:48,0.01,300,1.15,37.3947957513083
2021-06-15 13:41:21,100,0.01,1.15,181.07764406174
2021-06-15 13:40:55,100,300,1.15,557.016498620739
2021-06-15 13:40:29,0.01,300,1.15,37.3947957513083
2021-06-15 13:40:03,0.01,0.01,1.15,37.3820456080936
2021-06-15 13:39:37,0.01,0.01,1.15,37.3820456080936
2021-06-15 13:39:11,0.01,300,1.15,37.3947957513083
2021-06-15 13:38:45,0.01,0.01,1.15,37.3820456080936
2021-06-15 13:38:18,0.01,0.01,1,37.3912076895052
2021-06-15 13:37:51,100,300,1,2308.88004447219
2021-06-15 13:37:25,100,0.01,1,881.977333068938
2021-06-15 13:36:59,0.01,300,1,37.4638336324974
2021-06-15 13:36:33,100,0.01,1.15,181.07764406174
2021-06-15 13:36:07,100,0.01,1,881.977333068938
2021-06-15 13:35:41,0.01,300,1,37.4638336324974
2021-06-15 13:35:14,0.01,0.01,1.15,37.3820456080936
2021-06-15 13:34:47,0.01,0.01,1.15,37.3820456080936
2021-06-15 13:34:21,0.01,300,1,37.4638336324974
2021-06-15 13:33:55,100,300,1,2308.88004447219
2021-06-15 13:33:29,0.01,300,1.15,37.3947957513083
2021-06-15 13:33:03,100,300,1.15,544.648668435376
2021-06-15 13:32:36,0.01,300,1.15,37.3947957513083
2021-06-15 13:32:10,100,0.01,1.15,181.07764406174
2021-06-15 13:31:44,0.01,300,1,37.4638336324974
2021-06-15 13:31:18,0.01,0.01,1,37.3912076895052
2021-06-15 13:30:52,100,0.01,1,881.977333068938
2021-06-15 13:30:25,0.01,300,1,37.8259770084188
2021-06-15 13:29:59,100,300,1.15,544.648668435376
2021-06-15 13:29:33,100,0.01,1,881.977333068938
2021-06-15 13:29:07,0.01,300,1.15,37.3947957513083
2021-06-15 13:28:41,100,300,1.15,544.648668435376
2021-06-15 13:28:14,0.01,300,1.15,37.3947957513083
2021-06-15 13:27:47,100,0.01,1,881.977333068938
2021-06-15 13:27:22,100,0.01,1.15,181.07764406174
2021-06-15 13:26:56,0.01,300,1.15,37.3947957513083
2021-06-15 13:26:29,0.01,300,1,37.4638336324974
2021-06-15 13:26:03,0.01,0.01,1,37.3912076895052
2021-06-15 13:25:37,0.01,0.01,1.15,37.3820456080936
2021-06-15 13:25:11,100,300,1,2308.88004447219
2021-06-15 13:24:44,100,0.01,1.15,181.07764406174
2021-06-15 13:24:18,0.01,0.01,1.15,37.3820456080936
2021-06-15 13:23:51,100,0.01,1.15,181.07764406174
2021-06-15 13:23:25,0.01,0.01,1.15,37.3820456080936
2021-06-15 13:23:00,0.01,300,1.15,37.3947957513083
2021-06-15 13:22:32,100,0.01,1.15,181.07764406174
2021-06-15 13:22:06,0.01,0.01,1,37.3912076895052
2021-06-15 13:21:39,100,0.01,1.15,181.07764406174
2021-06-15 13:21:13,0.01,300,1.15,37.3947957513083
2021-06-15 13:20:47,0.01,300,1.15,37.3947957513083
2021-06-15 13:20:21,100,0.01,1,881.977333068938
2021-06-15 13:19:55,0.01,300,1,37.4638336324974
