"time","FLOW","TEMP","SALT","OXY_oxy","NIT_amm","NIT_nit","PHS_frp","OGM_doc","OGM_docr","OGM_poc","OGM_don","OGM_donr","OGM_pon","OGM_dop","OGM_dopr","OGM_pop","CAR_dic","CAR_ch4","SIL_rsi"
2014-01-01,0.0962,3.7876,0,384.0923,1.8788,0.3961,0.053,32.783,270.4602,27.3192,0.9535,7.8662,1.5891,0.0163,0.1344,0.3167,39.5373,0.7118,126.3866
2014-01-02,0.0782,4.2305,0,379.6355,1.8767,0.4195,0.0571,16.765,138.3108,13.9708,0.9452,7.7978,1.5753,-0.0019,-0.0154,-0.0363,40.3386,0.7118,126.3866
2014-01-03,0.0547,1.3205,0,410.6094,1.7711,0.4083,0.0549,13.9584,115.1567,11.632,0.9534,7.8651,1.5889,0.0488,0.4026,0.949,49.8066,0.7118,126.3866
2014-01-04,0.0383,1.0666,0,413.5116,1.9225,0.4154,0.0389,15.3544,126.6737,12.7953,0.9517,7.8512,1.5861,0.037,0.3051,0.7192,59.9815,0.7118,126.3866
2014-01-05,0.0391,3.4719,0,387.3236,1.8656,0.4159,0.0564,18.5286,152.8607,15.4405,0.9384,7.7416,1.564,0.0073,0.0603,0.142,44.2038,0.7118,126.3866
2014-01-06,0.0328,3.1818,0,390.3331,1.8554,0.376,0.042,19.2498,158.8105,16.0415,0.9514,7.8483,1.5855,0.0281,0.2315,0.5456,97.7224,0.7118,126.3866
2014-01-07,0.0229,0.2532,0,423.0377,1.9143,0.4056,0.0651,9.6199,79.3647,8.0166,0.9601,7.9209,1.6002,0.0936,0.7725,1.8208,58.2717,0.7118,126.3866
2014-01-08,0.0161,0.2804,0,422.7134,1.8933,0.3946,0.0363,31.4095,259.1285,26.1746,0.95,7.8379,1.5834,0.0454,0.3747,0.883,65.7121,0.7118,126.3866
2014-01-09,0.0113,1.2204,0,411.7493,1.8807,0.3904,0.055,28.1762,232.454,23.4802,0.9584,7.9068,1.5973,-0.0018,-0.0148,-0.035,56.1628,0.7118,126.3866
2014-01-10,0.1283,2.7441,0,394.9489,1.8668,0.376,0.0372,40.3003,332.4773,33.5836,0.9625,7.9408,1.6042,0.0047,0.0385,0.0906,61.3655,0.7118,126.3866
